"11200","2238","2","71","","","3690","19663","","","","","","","","","","","","","","","","0","","","","","","","","0","","","","","46","","","","","","54186.8","","","","","","0","","","","54186.8","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Страница 3","","","","264","","","","","","","","","","",""
"Товарная накладная имеет приложение на","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","листах","","","","","","","","","","","","","","","","","","","","","","225","","","","","","","","","","",""
"и содержит       ","","","","","Тридцать ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","порядковых номеров записей","","","","","","","","","","","","","","","","","","","","","","225","","","","","","","","","","",""
"","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Масса груза (нетто) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","150","","","","","","","","","","",""
"","","","","Всего мест ","","","","","","","","","","","","","Масса груза (брутто) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"","","","","","прописью","","","","","","","","","","","","","","","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","150","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","15","","","","","","","","","","",""
"Приложение (паспорта, сертификаты, и т.п.) на ","","","","","","","","","","","","","","","","","","","","","","","","","","листах","","","","По доверенности №","","","","","","","","","","","","от","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","прописью","","","","","","","","","","","","","выданной","","","","","","","","","","","","","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"Всего отпущено на сумму","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","кем, кому (организация, должность, фамилия и. о.)","","","","","","","","","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"Шестьдесят восемь тысяч триста пятьдесят два рубля 89 копеек","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","","","","","","","","","","","","","",""
"","","","","","","","","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","","","","","","","","","","","",""
"Отпуск груза разрешил ","","","","","","","","Генеральный директор","","","","","","","","","","","","","","","","","","","","","","Груз принял ","","","","","","","","","","","","","","","","","","","","","","","","","","`","","","285","","","","","","","","","","",""
"","","","","","","","должность  ","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","должность ","","","","","","","","подпись","","","","","","расшифровка подписи","","","","","","","150","","","150","","","","","","","","","","",""
"Главный (старший) бухгалтер     ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Груз получил ","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","грузополучатель","","","","","должность ","","","","","","","","подпись","","","","","","расшифровка подписи","","","","","","","150","","","150","","","","","","","","","","",""
"Отпуск груза произвел","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","195","","","","","","","","","","",""
"","","","","","","","","должность ","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","150","","","","","","","","","","",""
"","","","","М.П.","","","28 May 2021 г.","","","","","","","","","","","","","","","","","","","","","","","","","","","М.П.","","","","","""     ""","","","","","","","20","","года","","","","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
